,album,track_title,total_count,unique_count,sparsity
101,Lover,Paper Rings,523,96,0.1835564053537285
102,Lover,Cornelia Street,397,96,0.24181360201511334
103,Lover,Death By A Thousand Cuts,470,85,0.18085106382978725
104,Lover,London Boy,444,101,0.22747747747747749
105,Lover,Soon You'll Get Better,270,59,0.21851851851851853
106,Lover,False God,350,68,0.19428571428571428
107,Lover,You Need To Calm Down,395,79,0.2
108,Lover,Afterglow,427,71,0.16627634660421545
109,Lover,ME!,562,79,0.14056939501779359
110,Lover,It's Nice To Have A Friend,172,62,0.36046511627906974
111,Lover,Daylight,504,91,0.18055555555555555
